"PK","SK","batch_type","GSI1PK","GSI1SK","openai_batch_id","receipt_refs","result_file_id","status","submitted_at","TYPE"
"BATCH#11ad2d24-bc3f-4d75-ad82-eb107d6ada98","STATUS","WORD_EMBEDDING","STATUS#PENDING","BATCH_TYPE#WORD_EMBEDDING#BATCH_ID#11ad2d24-bc3f-4d75-ad82-eb107d6ada98","batch_690eb5ad1510819099533ac5a8eb8ede","[{""M"":{""image_id"":{""S"":""d1953a02-b3ea-410d-8f63-4a1859da6b53""},""receipt_id"":{""N"":""1""}}}]","N/A","PENDING","2025-11-08T03:14:53.247993+00:00","BATCH_SUMMARY"
"BATCH#1069e04a-945a-441c-a3da-f6e800f5a93a","STATUS","LINE_EMBEDDING","STATUS#PENDING","BATCH_TYPE#LINE_EMBEDDING#BATCH_ID#1069e04a-945a-441c-a3da-f6e800f5a93a","batch_690eb563d0948190be8245684ccdd867","[{""M"":{""image_id"":{""S"":""2360d36e-8211-46c4-9bc8-106766d80038""},""receipt_id"":{""N"":""2""}}}]","N/A","PENDING","2025-11-08T03:13:40.042470+00:00","BATCH_SUMMARY"
"BATCH#a8a82691-51d9-4a03-bb49-ee0c95f0305b","STATUS","LINE_EMBEDDING","STATUS#PENDING","BATCH_TYPE#LINE_EMBEDDING#BATCH_ID#a8a82691-51d9-4a03-bb49-ee0c95f0305b","batch_690eb58374048190b2cc45fe9b5bbcb1","[{""M"":{""image_id"":{""S"":""cb868dc8-0c7a-46ab-bd6e-8994222c4a0d""},""receipt_id"":{""N"":""1""}}}]","N/A","PENDING","2025-11-08T03:14:11.686311+00:00","BATCH_SUMMARY"
"BATCH#652712fa-2319-49d3-9be2-d0c981b5c9b5","STATUS","LINE_EMBEDDING","STATUS#PENDING","BATCH_TYPE#LINE_EMBEDDING#BATCH_ID#652712fa-2319-49d3-9be2-d0c981b5c9b5","batch_690eb5701df88190b7a41175d6a13c08","[{""M"":{""image_id"":{""S"":""6f2f1d08-af1e-4716-a26c-dea4c065ab62""},""receipt_id"":{""N"":""2""}}}]","N/A","PENDING","2025-11-08T03:13:52.654817+00:00","BATCH_SUMMARY"
"BATCH#034e0aa2-e1a2-45d8-a147-bf26842ae527","STATUS","WORD_EMBEDDING","STATUS#PENDING","BATCH_TYPE#WORD_EMBEDDING#BATCH_ID#034e0aa2-e1a2-45d8-a147-bf26842ae527","batch_690eb5a10d8c8190a2d2d9acc7e7d1e5","[{""M"":{""image_id"":{""S"":""a9372db7-4279-402f-b9c5-77a5ab1ca40d""},""receipt_id"":{""N"":""1""}}}]","N/A","PENDING","2025-11-08T03:14:41.250807+00:00","BATCH_SUMMARY"
"BATCH#923c6f89-9130-4d88-b145-fa381ffdf8d2","STATUS","LINE_EMBEDDING","STATUS#PENDING","BATCH_TYPE#LINE_EMBEDDING#BATCH_ID#923c6f89-9130-4d88-b145-fa381ffdf8d2","batch_690eb57dae7881909b4eb42034d89f0b","[{""M"":{""image_id"":{""S"":""adb04b5e-4714-4e33-a3e8-7a874ad1549a""},""receipt_id"":{""N"":""1""}}}]","N/A","PENDING","2025-11-08T03:14:05.852680+00:00","BATCH_SUMMARY"
"BATCH#860a5284-aad7-41e9-89b0-1109b3c2e1d0","STATUS","WORD_EMBEDDING","STATUS#PENDING","BATCH_TYPE#WORD_EMBEDDING#BATCH_ID#860a5284-aad7-41e9-89b0-1109b3c2e1d0","batch_690eb5a6e9a881908a18277a48838047","[{""M"":{""image_id"":{""S"":""c3080014-6536-45ff-8280-b5ccc9f24751""},""receipt_id"":{""N"":""1""}}}]","N/A","PENDING","2025-11-08T03:14:47.044924+00:00","BATCH_SUMMARY"
"BATCH#87a729a0-b81a-4067-be85-153b879ed4cb","STATUS","LINE_EMBEDDING","STATUS#PENDING","BATCH_TYPE#LINE_EMBEDDING#BATCH_ID#87a729a0-b81a-4067-be85-153b879ed4cb","batch_690eb58aeecc819082213f70bfeec4da","[{""M"":{""image_id"":{""S"":""fb69b028-a9d1-4d27-b30f-6e5f1502e2ac""},""receipt_id"":{""N"":""1""}}}]","N/A","PENDING","2025-11-08T03:14:19.137212+00:00","BATCH_SUMMARY"
"BATCH#f859b6e9-65ad-4e3f-a86a-e59e1e9bde4a","STATUS","WORD_EMBEDDING","STATUS#PENDING","BATCH_TYPE#WORD_EMBEDDING#BATCH_ID#f859b6e9-65ad-4e3f-a86a-e59e1e9bde4a","batch_690eb5b3936481909b6aa612d2871531","[{""M"":{""image_id"":{""S"":""ec17c1aa-612f-4466-91b2-075b836c9b3b""},""receipt_id"":{""N"":""1""}}}]","N/A","PENDING","2025-11-08T03:14:59.824215+00:00","BATCH_SUMMARY"
"BATCH#40d7caad-ce0a-4000-ae56-a9ae7a7e27d1","STATUS","LINE_EMBEDDING","STATUS#PENDING","BATCH_TYPE#LINE_EMBEDDING#BATCH_ID#40d7caad-ce0a-4000-ae56-a9ae7a7e27d1","batch_690eb56981808190a8b04fcd615fbc7f","[{""M"":{""image_id"":{""S"":""49a1a1e7-348a-4cd9-af96-2312e838476e""},""receipt_id"":{""N"":""1""}}}]","N/A","PENDING","2025-11-08T03:13:45.649289+00:00","BATCH_SUMMARY"
